jurisdiction;income level;;
Afghanistan;Low income;;
Albania;Upper middle income;;
Algeria;Upper middle income;;
American Samoa;Upper middle income;;
Andorra;High income;;
Angola;Lower middle income;;
Antigua and Barbuda;High income;;
Argentina;Upper middle income;;
Armenia;Lower middle income;;
Aruba;High income;;
Australia;High income;;
Austria;High income;;
Azerbaijan;Upper middle income;;
Bahamas, The;High income;;
Bahrain;High income;;
Bangladesh;Lower middle income;;
Barbados;High income;;
Belarus;Upper middle income;;
Belgium;High income;;
Belize;Upper middle income;;
Benin;Low income;;
Bermuda;High income;;
Bhutan;Lower middle income;;
Bolivia;Lower middle income;;
Bosnia and Herzegovina;Upper middle income;;
Botswana;Upper middle income;;
Brazil;Upper middle income;;
British Virgin Islands;High income;;
Brunei Darussalam;High income;;
Bulgaria;Upper middle income;;
Burkina Faso;Low income;;
Burundi;Low income;;
Cabo Verde;Lower middle income;;
Cambodia;Lower middle income;;
Cameroon;Lower middle income;;
Canada;High income;;
Cayman Islands;High income;;
Central African Republic;Low income;;
Chad;Low income;;
Channel Islands;High income;;
Chile;High income;;
China;Upper middle income;;
Colombia;Upper middle income;;
Comoros;Low income;;
Congo, Dem. Rep.;Low income;;
Congo, Rep.;Lower middle income;;
Costa Rica;Upper middle income;;
Côte d'Ivoire;Lower middle income;;
Croatia;Upper middle income;;
Cuba;Upper middle income;;
Curaçao;High income;;
Cyprus;High income;;
Czech Republic;High income;;
Denmark;High income;;
Djibouti;Lower middle income;;
Dominica;Upper middle income;;
Dominican Republic;Upper middle income;;
Ecuador;Upper middle income;;
Egypt, Arab Rep.;Lower middle income;;
El Salvador;Lower middle income;;
Equatorial Guinea;Upper middle income;;
Eritrea;Low income;;
Estonia;High income;;
Ethiopia;Low income;;
Faroe Islands;High income;;
Fiji;Upper middle income;;
Finland;High income;;
France;High income;;
French Polynesia;High income;;
Gabon;Upper middle income;;
Gambia, The;Low income;;
Georgia;Lower middle income;;
Germany;High income;;
Ghana;Lower middle income;;
Gibraltar;High income;;
Greece;High income;;
Greenland;High income;;
Grenada;Upper middle income;;
Guam;High income;;
Guatemala;Lower middle income;;
Guinea;Low income;;
Guinea-Bissau;Low income;;
Guyana;Upper middle income;;
Haiti;Low income;;
Honduras;Lower middle income;;
Hong Kong SAR, China;High income;;
Hungary;High income;;
Iceland;High income;;
India;Lower middle income;;
Indonesia;Lower middle income;;
Iran, Islamic Rep.;Upper middle income;;
Iraq;Upper middle income;;
Ireland;High income;;
Isle of Man;High income;;
Israel;High income;;
Italy;High income;;
Jamaica;Upper middle income;;
Japan;High income;;
Jordan;Lower middle income;;
Kazakhstan;Upper middle income;;
Kenya;Lower middle income;;
Kiribati;Lower middle income;;
Korea, Dem. People's Rep.;Low income;;
Korea, Rep.;High income;;
Kosovo;Lower middle income;;
Kuwait;High income;;
Kyrgyz Republic;Lower middle income;;
Lao PDR;Lower middle income;;
Latvia;High income;;
Lebanon;Upper middle income;;
Lesotho;Lower middle income;;
Liberia;Low income;;
Libya;Upper middle income;;
Liechtenstein;High income;;
Lithuania;High income;;
Luxembourg;High income;;
Macao SAR, China;High income;;
Macedonia, FYR;Upper middle income;;
Madagascar;Low income;;
Malawi;Low income;;
Malaysia;Upper middle income;;
Maldives;Upper middle income;;
Mali;Low income;;
Malta;High income;;
Marshall Islands;Upper middle income;;
Mauritania;Lower middle income;;
Mauritius;Upper middle income;;
Mexico;Upper middle income;;
Micronesia, Fed. Sts.;Lower middle income;;
Moldova;Lower middle income;;
Monaco;High income;;
Mongolia;Lower middle income;;
Montenegro;Upper middle income;;
Morocco;Lower middle income;;
Mozambique;Low income;;
Myanmar;Lower middle income;;
Namibia;Upper middle income;;
Nauru;Upper middle income;;
Nepal;Low income;;
Netherlands;High income;;
New Caledonia;High income;;
New Zealand;High income;;
Nicaragua;Lower middle income;;
Niger;Low income;;
Nigeria;Lower middle income;;
Northern Mariana Islands;High income;;
Norway;High income;;
Oman;High income;;
Pakistan;Lower middle income;;
Palau;High income;;
Panama;Upper middle income;;
Papua New Guinea;Lower middle income;;
Paraguay;Upper middle income;;
Peru;Upper middle income;;
Philippines;Lower middle income;;
Poland;High income;;
Portugal;High income;;
Puerto Rico;High income;;
Qatar;High income;;
Romania;Upper middle income;;
Russian Federation;Upper middle income;;
Rwanda;Low income;;
Samoa;Upper middle income;;
San Marino;High income;;
São Tomé and Principe;Lower middle income;;
Saudi Arabia;High income;;
Senegal;Low income;;
Serbia;Upper middle income;;
Seychelles;High income;;
Sierra Leone;Low income;;
Singapore;High income;;
Sint Maarten (Dutch part);High income;;
Slovak Republic;High income;;
Slovenia;High income;;
Solomon Islands;Lower middle income;;
Somalia;Low income;;
South Africa;Upper middle income;;
South Sudan;Low income;;
Spain;High income;;
Sri Lanka;Lower middle income;;
St. Kitts and Nevis;High income;;
St. Lucia;Upper middle income;;
St. Martin (French part);High income;;
St. Vincent and the Grenadines;Upper middle income;;
Sudan;Lower middle income;;
Suriname;Upper middle income;;
Swaziland;Lower middle income;;
Sweden;High income;;
Switzerland;High income;;
Syrian Arab Republic;Lower middle income;;
Taiwan, China;High income;;
Tajikistan;Lower middle income;;
Tanzania;Low income;;
Thailand;Upper middle income;;
Timor-Leste;Lower middle income;;
Togo;Low income;;
Tonga;Upper middle income;;
Trinidad and Tobago;High income;;
Tunisia;Lower middle income;;
Turkey;Upper middle income;;
Turkmenistan;Upper middle income;;
Turks and Caicos Islands;High income;;
Tuvalu;Upper middle income;;
Uganda;Low income;;
Ukraine;Lower middle income;;
United Arab Emirates;High income;;
United Kingdom;High income;;
United States;High income;;
Uruguay;High income;;
Uzbekistan;Lower middle income;;
Vanuatu;Lower middle income;;
Venezuela, RB;Upper middle income;;
Vietnam;Lower middle income;;
Virgin Islands (U.S.);High income;;
West Bank and Gaza;Lower middle income;;
Yemen, Rep.;Lower middle income;;
Zambia;Lower middle income;;
Zimbabwe;Low income;;
